station,WNS,frequency,region,district,city,commercial,service_area,ownership_type,content_type,License?,Year Created,Year Ended,Email,Phone,latitude,Manager Name,Manager Contact,History,Notes,Website,Owner Organization,Owner Name,Owner Profession,Politics,Religion,International?,Partners,TADIO?,Internews/Boresha Habari?,UNESCO?,BBC National Conversation,BBC Media Action,Farm Radio International,Twaweza?,Khanga Rue,Media Council Tanzania,Tanzania Media Foundation,Deutsche Welle,Watts,Height,Reach,TO DO,Alternative Stations?,Column1,Column2,Column3
Safari Radio / Radio Safari,,89.9,Mtwara,Mtwara,Mtwara,Commercial,Regional,Private,Entertainement/International and Local News,2013,,,info@safariradio.co.tz,"Mobile:+255 784 501166, +255 655 501166",-10.26666667,,info@safariradio.co.tz,Mtwara,,www. safariradio.co.tz,Safari Media,Haroun Maarifa,,,,,,,,,,,,,,,,,2000,10,90,,"Mtwara (89.3fm), Lindi (88.9fm), Ruvuma (88.5fm), Kigoma (92.1fm), Singida 98.5fm, Sumbawanga 88.5, Morogoro 102.3fm and Geita 91.1fm",,,
Pride FM,,87.8,Mtwara,Mtwara,Mtwara,Commercial,District,Private,Entertainment/Local News,2013,1998,,info@878pridefm.com,,"-10.259322861324565, 40.18109068385353",,info@878pridefm.com,Mtwara,,,,"Ramadhani Luthambi
https://www.linkedin.com/in/ramadhani-lutambi-5359ab18",IT,Yes - Chadema then CCM,No,No,,,,,,,,,,,,,100,65,120,,,,,
Radio Mwokozi,,999.9,Mtwara,Masasi,Masasi,,,,,,,,,,-10.73333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afya Radio,,96.8,Mwanza,Nyamagana,Mwanza/Pamba,Non-Commercial,District,NGO,Local News,Yes,2013,,tandabui@healthaccesstz.org,,"-2.5253249684841466, 32.895492275139205",Doto Biteko,,Mwanza,"Afya Radio is a strong outreach and medium for improvement of health outcomes through, stimulation of the community dialogue on health issues, Interactive community journalism and a platform for public opinion on health-related issues.Afya Radio is covering lake Zone regions with prospect of expanding the operations to other regions of Tanzania and East Africa at large The Afya FM Radio comprises studio facility and transmission facility of 2-Kilo-Watts output. The studio facilities are accommodated at Buzuruga Mwanza, in Mwanza City while the transmission facilities are located at Bugarika C, one of the suburbs of the Mwanza City. Afya Radio’s Vision is of a Tanzania which is free from preventable illnesses and diseases Afya Radio’s Mission: We work to realize that under-served population of Tanzania are well informed on health issues, demanding their rights to health, access appropriate health services and practice healthy living behavior through health system strengthening and private-public partnership. The main Objective of Afya Radio. Afya Radio is an exclusive, by its nature as health leaning media. It is a strategic tool for Educating, informing, advocating and stimulating social action for better health. Afya Radio covers Mwanza region and some parts of other Lake Zone Regions like Bunda and Musoma rural in Mara, Chato and Biharamulo in Kagera region Kishapu and Shinyanga Municipal in Shinyanga region with prospect of expanding the operations to other Regions in near future. The Audience: We produce programs with a balanced between majority and minority audience, favoring the mass audience of under-served population. Afya Radio has attained a large number of audiences due to the expansion, the radio receiving a lot of feedback from listeners because it reaches 2.5 million people.",https://afyaradiofm.radio12345.com/,Tandabui Health Access,Joseph Kavit,"Business / NGO
https://www.linkedin.com/in/dr-joseph-josephat-kavit-40904735/?originalSubdomain=tz",No,No,NO,,,,,,,,,,,,,2kw,,,,,,Reach out,
Dira FM,,94.1,Mwanza,Mwanza,Mwanza,Commercial,District,Private,Entertainment/news,,2017,,dvjfrank01@gmail.com,757064311,"-2.518685610289107, 32.90207415491094",,,,,,"Dira Media Group Co. Ltd.
https://www.radioworld.com/news-and-business/tanzanias-dira-fm-opts-for-innovation",Alex Msama,Businessman - promotions and hotels,,,,,,,,,,,,,,,,,,,,,,,
HHC Alive FM,,91.9,Mwanza,Mwanza,Mwanza,Religious,District,Religious,Local News,,2012,,pastormurisa@hotmail.com,,-2.483333333,,pastormurisa@hotmail.com,,,https://web.facebook.com/alivefmmatukio/?_rdc=1&_rdr,"Bishop Eugen Mulisa Ministries
HHC CATHEDRAL",Bishop Eugen Mulisa,,,,Jesus is Alive Gospel Outreach,,,,,,,,,,,,,,,,,,,,
Jembe FM,,93.7,Mwanza,Mwanza,Mwanza,Commercial,District,Private,Entertainment,,2015,,,,"-2.5193953396579185, 32.89886002422652",,,,"Jembe FM was created with one goal in mind: to bring the world’s most popular music and creative content to the good people of Mwanza. Originally, the founders of the station set out to expand the ears of the public and Jembe FM has worked hard across the years to keep this legacy alive. The station is the brainchild of Jembe Media Ltd. The director Dr. Sebastian Ndege a former media personality noticed the huge media vacuum and potential of further growing and developing the media scene in the Lake Zone region thus Jembe FM was initiated in late 2014. The station managed to put systems in place and in it was able to carry out test transmissions all through till the 25th of April 2015 where the station was awarded its full commercial broadcast license from the Tanzania Communications Authority making 93.7 JEMBE FM, the newest addition to the countries media landscape and yes the newest entrant into the Lake Zone media space as a whole. The station even through its test transmission period and under the revolutionary vision and spirit of the director was able to set a clear leading trend in the hearts of the listeners in Mwanza and the larger lake zone region and also bench marked to be a true leader in Infotainment Programming and offering a promise that the station is determined to uphold and deliver to its loyal listeners and the people of the Lake Zone Region.",https://www.jembenijembe.com/about-us/,Jembe Media Ltd.,Dr. Sebastian Ndege,Businessman - media,,,,,,,,,,,,,,,,,,,,,,,
Kiss FM,,88.2,Mwanza,Mwanza,Mwanza,Commercial,Regional,Private,Entertainment,,1998,,info@kissfmtz.com,,"-2.508103159103204, 32.91299086807562",,info@kissfmtz.com,Mwanza,"KISS FM is a regional commercial station broadcasting in FM frequencies that was established in 1998.

It is in the top ten of most popular stations, reaches an audience of XX.XXX% according to GeoPoll’s 2018, second quarter survey on radio stations audience share nationwide. No data on its audience reach but its programs can reach Mwanza, Dar es Salaam, Morogoro, Tanga and Mbeya. The station broadcasts youth tailored programs and news and current affairs.

When it comes to political issues, they usually they usually are supporting CCM

Listen Radio Kiss FM 89.3 Breaking News Station with Live Online Stream from Dar es Salaam city frequency Tanzania. Kiss FM is an acclaimed News channel that is telecasting from main city areas of country and audience enjoys it lively. Its kind is African Music and is broadcasting each project in Swahili dialect. Kiss FM is well known in all Africa because of its type and best music diversion. Its central goal is to enliven audience members and give listeners best shows online and keep overhaul audience members from most recent global and country news.

Kiss FM’s license is registered to Sahara Media Group Ltd (SMG) to 100% - according to the Tanzanian Communication Regulatory Authority (TCRA). SMG, formerly known as Sahara Communication and Publishing Company Ltd. was established in 1992. SMG runs three media outlets—Star TV, Radio Free Africa and Kiss FM.

Ownership data for SMG was not accessible at the Business Registrations and Licensing Agency (BRELA). According to his Linkedin profile, Chairman and CEO of SMG is today still its founder Dr. Anthony M. Diallo, an ex-Minister in several capacities. According to a questionnaire filled in by the R&D Manager of SMG, there are no surveys conducted to assess the advert revenue for each FTA station. The government provides the company with information and news, however, does not support considerably with state advertising.",http://www.radiofreeafrica.co.tz/about,Sahara Media Group Ltd (SMG),Dr. Anthony M. Diallo,"ex-Minister, Regional Party Chariman of CCM",Yes,No,No,,,,,,,,,,,,,,,,,,,,
Kwa Neema FM,,98.1,Mwanza,Mwanza,Mwanza,Commercial,District,Religious,Religious/Local News,,2010,,kwaneemafmradio@gmail.com,,"-2.484598471559532, 32.91933494799479",,kwaneemafmradio@gmail.com,Mwanza,http://jabashadrack.blogspot.com/2013/02/dar-es-salaam-tcra-suspends-operations.html,http://kingdomagendaafrica.blogspot.com/,The Tanzania Field Evangelism Church,"Peter Omary 
Replaces Augustine Mpemba in 2015",,,Evangelical,,,,,,,,,,,,,,,,,,,,,
Lake FM,,102.5,Mwanza,Mwanza,Mwanza,Commercial,District,Private,Local news / social issues,,,,,,"-2.5184855580253904, 32.90209211254544",,,,"102.5 Lake FM is a community centric commercial radio station in Mwanza, Tanzania. Our vision is to be a vital voice and vibrant service provider in Mwanza that is indispensable to listeners' lives, inspires people to look at the world in positive ways and capitalize on emerging opportunities to serve our listeners by providing trusted sources of information, music and entertainment for curious and thoughtful people in efficient, sustainable ways that meet the needs of listeners and advertisers we serve.

Since its inception, Lake FM has been a platform to help unlock the cycle of poverty in Mwanza, addressing distresses lower income earning people have to face on a daily basis. Our main objective is to contribute to social and economic empowerment of the poor by facilitating access to markets, using the radio station as a platform to promote their products and to address challenges they face on a daily basis such as inadequate and unhygienic sanitation or WASH; the second largest cause of disease in the world and food and nutrition security.

Lake FM has given a voice to the unheard, a voice to the women, children and men from several communities in Mwanza. We entertain, educate, inspire, interact, empower, we listen to our people and provide them a platform to be heard by other citizens but most importantly local authorities. We provide long-term solutions that will be shared generation to generation because we recognize the potential of these communities to the overall economic development in Mwanza. We use various creative and interactive platforms such as radio dramas, street plays, free concerts, outside broadcasting, promos, on ground activities, competitions and sports in order to make sure our message is delivered but most importantly understood!",,,Doreen Peter Noni (only female owner?),NGO Leader,,,,,,Yes,,,,,,,,,,,,,,,REACH OUT - only female owner,,
Living Water FM,,103.3,Mwanza,Mwanza,Mwanza,Religious,District,Religious,Religious,,2016,,,,"0.4790673415404127, 32.73830255420289",,,,,https://livingwaterstanzania.com/about-us/,Living Water Ministries,Caroly Philpott,,,,,,,,,,,,,,,,,,,,,,,,
Metro FM / Radio Metro FM Stereo,,99.3,Mwanza,Mwanza,Mwanza,Commercial,District,Private,Entertainment/Local News,,2013,,radiometro@aim.com,,-2.65,,radiometro@aim.com,Mwanza,,http://web.archive.org/web/20171103132150/http://www.metrofm.co.tz/,,,,,,,,,,,,,,,,,,,,,,,,,,
Passion FM,,91,Mwanza,Nyamagana,Mwanza,Commercial,Regional,Private,Entertainment/Local News,,2009,,"mwanza@passionfmtz.com, dar@passionfmtz.com",+255 282540984,"-2.492772831842314, 32.904158053428866",,"mwanza@passionfmtz.com, dar@passionfmtz.com",,"He owned the government 200,000 million and got shut down

He wanted to sell the radio station, but his wife said that he couldn’t",,Ernest shomasike,Ernest shomasike,Business,,,,,,,,,,,,,,,,,,,NEED TO FIND OWNER,,,,
Radio Free Africa,,88.2,Mwanza,Mwanza,Mwanza,Commercial,National,Private,"National News, Entertainment ",,1995,,info@radiofreeafrica,,"-2.460688033013913, 32.91316290398651",,info@radiofreeafrica,Mwanza,"Radio free Africa, also famously known as RFA, is the go to radio for the latest news, topics and music.

In 1995, Sahara Media Group Ltd obtained a broadcast license and Radio Free Africa hit the airwaves at the end of August the same year. This set the stage for the subsequent phases in its growth which has led the channel to be the leading national radio station in Tanzania.

Radio Free Africa (RFA) is a famous and influential Radio Station with the highest coverage that stretches continents with its AM signal while maintaining excellent coverage through our FM signal in Tanzania.

https://tanzania.mom-rsf.org/en/media/detail/outlet/radio-free-africa-1/

The channel plays the best music and presents the best news from around Tanzania, East Africa the world broadcasting in Kiswahili 24/7. The station sets records in countrywide reach having a mix match of audiences from Urban and Rural Listeners.",http://www.radiofreeafrica.co.tz/about,Sahara Media Group Ltd (SMG),Dr. Anthony M. Diallo,"ex-Minister, Regional Party Chariman of CCM",,,,,,,,Yes,,,,,,,,,,,,,,,
SAUT Radio / Radio SAUT FM Stereo,1,96.1,Mwanza,Mwanza,Mwanza,University,District,University,"Local News
Religious (Catholic)",,1999,,sautmalimbe@saut.ac.tz,TEL:+255 28 2550090;,"-2.6135410799341683, 32.88389028324883",Dotto Bulendu,"sautmalimbe@saut.ac.tz
+255 787 373 515",,,,Saint Augustine University / Archdiocese of Mwanza,"Bishops of Tanzania, the Tanzanian Episcopal Conference (TEC)",Catholic Church,No,Yes,No,,,,,,,,,,,,,,,,I think we have a contact here,,,,
Sengerema FM / Radio Sengerema,,98.9,Mwanza,Sengerema,Sengerema,Community,District,Government,Local Radio,,2003,,sengerematelecentre@yahoo.com,,"-2.649670400767198, 32.64407954986101",Sostenes Tangaro,786681399,,Supported by UNESCO,,Sengerema District Council,Government,Government,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Ukombozi FM,,104.1,Mwanza,Mwanza,Mwanza,Religious,District,Religious,Religious,,2014,,saayaukombozi@gmail.com,Tel: +255 763 636822,"-2.5049442309225993, 32.92150357764771",,,,"About Redemption Dar

Liberation Church Ministries for All Nations based in Mwanza, Tanzania. It is a church that is growing so fast that in just a few years it has been able to reach thousands of people at home and abroad.

The Founder and General Leader of this Liberation Ministry Ministries For All Nations is the Man of God Prophet BG Malisa, whom God has been using to a great extent in healing broken hearts, setting free those bound by the devil and comforting all who are afflicted, television, popularly known as the ""HOUR OF REDEMPTION"" is watched by millions of people every week.

In just a short time, less than ten years since the inception of this prophetic ministry of Liberation, it has successfully opened about seven branches across the country, Dar es Salaam, Arusha, Mbeya, Kahama, Sengerema, Shinyanga and Moshi.

FORUM AND TOOLS

By the power of the Holy Spirit this ministry in 2014 was able to purchase its state-of-the-art platform as well as instruments for spreading the gospel to millions who have not yet reached the word of life across the country.

REDIO

Also that year it was able to establish its own radio station built in Mwanza, Tanzania, this radio which has already started broadcasting known as Ukombozi FM Radio, is heard through 104.1 Mhz.

BOOKS

The Founder and General Leader of the Redemptive Ministry Prophet BG Malisa is the Author of many spiritual books which have been very helpful to many people, many people have been opened through these books, the testimonies about the books are so many.",https://ukombozidar.wordpress.com/about/,Ukombozi Ministries for all Nations 100%,BG Malisa,Religious leader,,,,,,,,,,,,,,,,,,,,,,,
IQRA FM,,100,Mwanza ,Mwanza,Mwanza,Religious,District,Religious,Religious (Islam),yes,,,,,-2.483333333,,,,https://gsengo.blogspot.com/2013/07/lowassa-aungurumisha-barabara-harambee.html,http://iqraradio.blogspot.com/,"BAKWATA - Mwanza Branch
https://en.wikipedia.org/wiki/National_Muslim_Council_of_Tanzania",,Religious (Islam),,,,,,,,,,,,,,,,,,,,,,,
Green FM,,91.5,Njombe,Makete,Makete-Njombe,Community,District,NGO,News,,2016,,,,"-9.37417382988753, 34.22891445397367",,,,,,Egnatio Mtawa,Support Makete Self-Support (SUMASESU) ,,,,,,,,,,,,,,,,,,,,,,,,
Best FM,,90.3,Njombe,Ludewa,Ludewa,Community,District,,,,,,,,"-10.11594508759781, 34.66473773952147",,,,"Very good number of regular programs and special programs for those special moments, days and time by Best FM Ludewa are really very entertaining and engaging. With Best FM Ludewa it’s possible to explore more and more into the space of online radio and very engaging and intuitive musical programs based on the genres they are dedicate to.",https://web.facebook.com/groups/ludewa/?_rdc=1&_rdr,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice FM,,99.5,Njombe,Njombe,Mjimwema,Commercial,District,Community,,,2013,,info@icefm.co.tz,,-8.855755974945737,,,,,https://icefm.co.tz/,Ice Entertainment & Promotion Co. Ltd,Jacob Mwenga,,,,,Boresha Habari,,,,,,,,,,,,,,,,,,,
Kitulo FM,,97.1,Njombe,Makete,Kitulo,Non-commerical,District,State,Local News,,2006,,"maketecouncil@yahoo.com
kitulofm@yahoo.com",+255 262740016,"-9.387228677660438, 34.23524971462192",,,Mekete,https://wire.farmradio.fm/spotlights/kitulo-fm-speaks-out-for-womens-rights/,,Makete District Council,District Council,Government,Government,,,,,,,,,,,,,,,,,,,,,,
Starter FM,,90.7,Njombe,Njombe,Njombe,Commercial,District,Private,Gospel,,2018 (Facebook),,"chinkkaka50@gmail.com
starterradiofm@gmail.com","+255715110836
+255754037522
+255715589002","-9.345020296627633, 34.762971856792326",,,,,https://www.youtube.com/channel/UCcwAk_HCRiSEI0UgECZrlkQ,,,,,,,,,,,,,,,,,,,,,,,,,,
Uplands FM,,89.1,Njombe,Njombe,Njombe,Commercial,District,Commercial,News/Entertainment,,2008,,,,"-9.359031789029602, 34.78620671261465",Wisdom Anderson,,,,,,Humphrey Millinga,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,
Makete FM,,999.9,Njombe,Mekete,Makete,,,,,,,,,,-8.966666667,,,NO INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unyanja FM Radio,,91.5,Nyasa,,Mbambabay ,,,,,,2016,,,,"-10.933055840989967, 34.832118024591324",,,,http://www.nyasadc.go.tz/new/kituo-cha-radio-jamii-unyanja-fc-chazinduliwa,https://web.facebook.com/Unyanja-FM-redio-528372157502062/, Agriculture and Micro-enterprise Development Organization (AGROMICRODET),Mr. Amour Hamad Amour,,,,,,,,,,,,,,,,,,,,,,,,
Chemcheni / Radio Chemcheni,,92.2,Rukwa,Sumbawanga,Sumbawanga,Commercial,District,Private,Religious,1999,1999,,chemchemi@yahoo.com,TEL:+255 25 2802014; 2802098,"-7.956013483234828, 31.63273595620599","Ms. John Chiwalala, Director",chemchemi@yahoo.com,Sumbawanga,Radio Chemchemi is a denominational/ evangelizing station operated by the diocese of Sumbawanga in the Rukwa region of Tanzania. It was established in 1999.,,Diocese of Sumbawanga,Catholic Church,Catholic Church,No,Catholic,Yes,,,,,,,,,,,,,1000,,,,,,,
Ndingala FM,,93.3,Rukwa,Sumbawanga,Sumbawanga,Commercial,District,Community,News,,2014,,"Tel: +255754647479
+255754647479
",,,,,,Listed as Ndigala FM Radio /,http://ndingalafm.blogspot.com/,NDINGALA FM RADIO CO.LIMITED,Ikuwo,Politician / Businessman,Yes,No,No,,,,,,,,,,,,,,,,Start time based on when Facebook page was started,,,,
Nkasi FM,,93.6,Rukwa,Nkasi,Nkasi,Government,District,Government,Government,,,,,"Tel: +255753565896
Tel:+255757042423;",,ELIMU HAMASA BURUDANI,,,,http://www.nkasidc.go.tz/?fbclid=IwAR0QjiI1Dttvhm26GXsbkWVR40wBYOdtgyEWTqVfEGgE5O1_B137cRlf9cs,Nkasi District Council,Nkasi District Council,Local Government,,,,,,,,,,,,,,,,,,,,,,,
Voice of Sumbawanga,1,90.1,Rukwa,Sumbawanga,Sumbawanga,Commercial,,,,,,,,,"-7.92698402247876, 31.636894836416126",,,,,,,Aeshi Hilaly,CCM MP,,,,,,,,,,,,,,,,,,,,,,,
Jogoo FM,,93,Ruvima,Songea,Songea,,,,,,2012,,"+255 754490049
+255 755468080",,"-10.654094883169302, 35.653612654580186","General manager: Denisi Mpaze
Magira Magira Lazaro",,,,,Jogoo FM Limited,,,,,,,,,,,,,,,,,,,,,,,,,
Key FM,,90.5,Ruvima,Songea,Songea,,,,,,2016,,,,"-10.678661889711236, 36.263203374980606",Chilimba willfred,,,,http://www.keyfm.co.tz/index.php/contacts,GREEN STAR MEDIA LTD,,,,,,,,,,,,,,,,,,,,,,,,,
Mercy FM,,90.9,Ruvuma,Tunduru,Tunduru/Ruvuma,Religious,District,Religious,Religious,Yes,2018,,mercyfmradio@gmail.com,0744003322,"-11.0494, 37.341","Messe Mbotela
Ester Tawete",,,,https://mercyfmradio.zyrosite.com/,"Kanisa la Biblia Tanzania / Evangelical Brethren Church
Partner with international: Christian Mission in Many Lands",Director: Mwanja Mangoni,Church leaders,,,,,,,,,,,,,,,,1000,,,,,,,
Ruvuma FM,,91.7,Ruvuma,Mbinga,Mbinga,Commercial,District,Private,,,2014,,ruvumafmradio2014@gmail.com,"+0715 498 999
+255 752 247647","-10.95151755635358, 34.99764408186781",,,,,,,"Renard Robert
https://www.jamiiforums.com/threads/mbinga-mwenge-wafungua-jengo-la-kituo-cha-radio-ruvuma-fm.684943/",,,,,,,,,,,,,,,,,,,,,,,,
Huheso FM,,104.5,Shinyanaga,Kahama,Kahama,Community,District,NGO,Local news,Yes,2018,,,,"-3.817464501653129, 32.59711502435902",,,,"HUHESO FM RADIO (104.5 MHz) is a Commercial Radio Station locally owned by THE FOUNDATION FOR HUMAN HEALTH AND SOCIAL DEVELOPMENT (HUHESO FOUNDATION). HUHESO FM RADIO is an accessible, responsible, and responsive radio alternative, serving the diverse communities of radio listeners in Kahama Town Council. It was established in June 2017 and officially commenced its production and broadcasting in February 2018. Currently through our radio programs broadcasting, we are covering all districts of; Shinyanga, Geita, Tabora and Kigoma regions.",https://www.globalhand.org/en/organisations/49066,,Juma Mesigwa,"NGO owner
https://www.google.com/search?q=huheso+foundation&oq=huheso+foundation&aqs=chrome..69i57j69i61.1611j0j9&sourceid=chrome&ie=UTF-8
Found in the year 2009 as supportive group of Children, Youth,Women and disabled group
especially people with special need families. The group was serving the neediest families
affected by HIV/AIDS and CANCER. The Foundation for Human Health society is a Foundation of marginalized people
and community based organizations dealing with HIV/AIDS issues human rights abuse,Cancer,Breast Cancer,
reproductive health to adolescents/youth and empowerment of women in TANZANIA.",,,,,,,,,,,,,,,,,,,,,,,
Jamii ya Baloha FM,,95.3,Shinyanga,Kahama,Kahama,Community,District,NGO,Local news,,2017,2019,,,"-3.6726662185375742, 33.42776108428975",,,,,,,Samada Maduhu,Former radio presenter,No,No,No,,,,,,,,,,,,,,,,,,,,
Divine FM (Devine FM),,93.3,Shinyanga,Kahama,Kahama,Non-Commerical,District,Religious,Gospel,,,,,0754 305 957,"-3.8337788431609425, 32.58760669204138",,,,,,CGA Church Kahama,Jovin Mwemezi,Pastor,No,Yes,No,,,,,,,,,,,,,,,,,,,,
Kahama FM,,90.8,Shinyanga,Kahama,Kahama,Commercial,District,Community,Local News,2010,2010,,,,"-3.8298748375385445, 32.588809125946064",Mr. Noel Tom-Kamundi (UNCLE TOM) (STATION MANAGER & CHIEF EDITOR),,,https://www.jamiiforums.com/threads/james-lembeli-atoboa-siri-kuhama-chadema-na-kurudi-ccm.1573545/,http://www.kahamafm.co.tz/,Kahama Media Communication Limited,James D. Lembeli,Politician - CCM who defected to Chadema in 2015 then moved back,Yes,No,No,,,,,,,,,,,,,,,,,,,,
Radio Faraja FM,,91.3,Shinyanga,Shinyanga,Shinyanga,Religious,District,Religious,Religious,,2001,,balina@africaonline.co.tz,+255 715274478,"-3.6633847936517716, 33.43106722422945",,balina@africaonline.co.tz,Shinyanga,,http://radiofaraja.blogspot.com/p/v-behaviorurldefaultvmlo.html,Diocese of Shinyanga,Catholic Church,Catholic Church,No,Catholic,,,,,,,,,,,,,Yes,,,,,,,,
Sibuka FM,,97,Simiyu,Maswa,Maswa,Commercial,Regional,Private,Entertainment/Local News,,2004,,gnangale@yahoo.com,+255 28 2750360,"-6.7694916098123254, 39.2349409883629",,gnangale@yahoo.com,"The radio went on air on 5th July 2004from its base station at Maswa, now SIMIYU Region (formerly Shinyanga). In June 2006, the radio was upgraded to a district category before being further upgraded to regional licensed category in June 2010. 

as once accused of broadcasting in the language spoken by many local residents and especially Shinyanga (jamii)

GOt his transmitters from the Red Cross, has been shut down before - lots of controversy on Jamiiforums

If I'm not mistaken he is called George Francis Nangale, CCM Member.
In the past they had a cotton ginning business in Uzogore-Shinyanga.
He is a Member of the East Africa Legislative Assembly.
He runs Tv / Radio - he is in partnership with someone else if I'm not mistaken.

Huwa puts Dr. before his names though I do not know is Dr. which, of livestock / nondoz / like JK.
Capture that link there for additional info","Top programmes on SIBUKA Maisha include educational and inspirational Maarifa Elimu, Maarifa Afya, Maarifa Mazingira and Maarifa Sheria; talk shows, great speeches, history, Gospel and Islamic programmes, African and Country music and tele-shopping interaction. Radio SIBUKA FM coverage extends from its Maswa base station (97.0 Mhz) to nine booster stations across the country. These are Shinyanga (104.9 Mhz), Bukoba ( 92.6 Mhz), Mwanza (95.5 Mhz), Chalinze/Coast (94.0 Mhz), Kasulu/Kigoma ( 97.6 Mhz ), Mbeya ( 97.6 Mhz), Mtwara ( 96.2 Mhz), Dodoma (92.0 Mhz) and Arusha (104.6 Mhz). Some of these boosters are yet to be switched on

The page projects descriptions and synopsis of titles and subtitles of media content available or coming up on SibukaTube App including live TV and Radio channels - TV Sibuka,  Sibuka Maisha and Sibuka FM Radio, and VOD thematic contents ranging from African Wildlife, Kids Platform, African Movies, Gospel Teachings and Music, Traditional African Dance, Bongo Youth Flavour Music to Animation Movies. ",,"Sibuka Company Lmt
 a company incorporated on 20thApril 2004 to run a community-based radio, SIBUKA FM","George Nangale
George Francis Nangale 51%
Zhu Jin Feng 49%","MP in East African Parliament (CCM Member)
Chairman of Chinese Business Chamber of Tanzania",Yes,No,No,,,,,,,,,,,,,,,,Who is the owner?,,,,
Bariadi FM,,93.5,Simiyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard FM / Standard VoiceRadio FM / Standard Radio FM,,90.1,Singida,Singida,Singida,Commercial,District,Private,Entertainement/local News,,2012,,md@standardvoice.co.tz,+255754692056 / +255715692056,"-4.824346863113207, 34.763159446032",Imani Musigwa,md@standardvoice.co.tz,Singida,,http://standardvoice.co.tz/about/,Standard Voice Ltd,"Mr. James Daud
James Japhet Daud 90%
Rukia James Daud 10%",Businessman,,,,,,,,,,,,,,,,,,,,,,,
Ilasi FM,,60,Songwe,Mbozi,Mbozi-Songwe,Commercial,District,Private,,,2012,,+255764118698,764211835,"-9.011180784775897, 32.945002610171706",,mboziradio@gmail.com,,,,ILASI ENTERPRISES LTD,"Ringson Satatu (Jeconia Lingson)
https://www.linkedin.com/in/jeconia-lingson-4481bb73/?originalSubdomain=tz",Businessman,No,No,No,,,,,,,,,,,,,,,,,,,,
CG FM,,89.5,Tabora,Tabora,Tabora,Commercial,Regional,Private,Local News,,2004,,cgfmradio@yahoo.com,0.9998828757,"-5.034765095582034, 32.8059526691259",,cgfmradio@yahoo.com,Tabora,,http://cgfmradio.com/?qt-vipindi_quicktab=5, C.G. Traders,Charles George,Business,No,No,No,,,,,,,,,,,,,,,,,,,,
Uhai FM / Radio Uhai FM,,94.1,Tabora,Tabora,Tabora,Religious,District,Religious,Religious,Yes,2017,,ynopfm@gmail.com,WhatsApp:   +1 855 933 7500,"-5.006517102040502, 32.82031099909585",,,,,"https://www.radiouhai.co.tz/about-us
https://www.newlifeafrica.org/radio-uhai","New Life Africa
https://www.newlifeafrica.org/new-life-radio
Your Network of Praise (YNOP)",dr. deius kanunu / Dr. Deusdedit C. Kanunu,"Dr. Deusdedit C. Kanunu is the founder and Manager of Radio Uhai, a 24/7 Christian radio station in the Tabora Region of Tanzania. A lifelong resident of Tabora and son of a local pastor, Deus's desire to see the residents of the Tabora Region reached with the good news of Jesus by radio led to the establishment of Radio Uhai in 2017. On June 1, 2020, YNOP began providing support to Radio Uhai in order for its excellent ministry to be strong and secure for the long-term. Deus has a vision to use radio to reach all of Tanzania with the gospel of Jesus Christ.",,,,,,,,,,,,,,,,,,,,,,,
Uyui FM,1,99.3,Tabora,Tabora,Tabora,Commercial,District,Community,,,,,uyuimedia@gmail.com,0623 993 993,"-5.014260553095755, 32.84206119909606",,,,,,Uyui Media Ltd,"Hon. Almas Athuman Maige
http://www.parliament.go.tz/administrations/436",Businessman,Yes - CCM MP,,,,,,,,,,,,,,,,,,,,,,
Voice of Tabora FM (VOT),,89,Tabora,Tabora,Tabora,Commercial,District,Private,,First licence 2005,2009,," aden.rage@yahoo.com,votradio890@gmail.com",,"-5.022743415690176, 32.81697940926088",Dennice Kumwenda/chief editor, aden.rage@yahoo.com,Tabora,,http://voiceoftabora.com/,Ismail Aden Rage 50%,Ismail Aden Rage/director,"Tabora Mp for CCM, Usedt o Simba chairperson",CCM,No,No,,,,,,,,,,,,,,,,"different sources for year of creation:
https://www.musicinafrica.net/directory/voice-tabora",,,,
Breeze FM,,100.6,Tanga,Tanga,Tanga,Commercial,District,Private,,,2014,,,255272643139,-5.066666667,,,,Off air 2016 to 2018,,Five Brothers,Nassor Makau ,Business,CCM,No,No,,,,,,,,,,,,,,,,,,,,
